time/fps,time/process,time/physics_process,time/navigation_process,memory/static,memory/static_max,memory/msg_buf_max,object/objects,object/resources,object/nodes,object/orphan_nodes,raster/total_objects_drawn,raster/total_primitives_drawn,raster/total_draw_calls,video/video_mem,video/texture_mem,video/buffer_mem,physics_2d/active_objects,physics_2d/collision_pairs,physics_2d/islands,physics_3d/active_objects,physics_3d/collision_pairs,physics_3d/islands,audio/driver/output_latency,navigation/active_maps,navigation/regions,navigation/agents,navigation/links,navigation/polygons,navigation/edges,navigation/edges_merged,navigation/edges_connected,navigation/edges_free
1.0,0.0,0.0,0.0,90399616.0,90399696.0,4096.0,7445.0,13.0,24.0,2046.0,10.0,120.0,10.0,115392088.0,49714176.0,35510268.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88.0,0.006261,0.000235,0.000001,90397488.0,90401464.0,4096.0,7445.0,13.0,24.0,2046.0,10.0,120.0,10.0,115910744.0,49708544.0,35510268.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165.0,0.006295,0.00019,0.000001,90397752.0,90401464.0,4096.0,7445.0,13.0,24.0,2046.0,10.0,120.0,10.0,115910744.0,49708544.0,35510268.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165.0,0.00613,0.000832,0.000001,90397752.0,90401464.0,4096.0,7445.0,13.0,24.0,2046.0,10.0,120.0,10.0,115910744.0,49708544.0,35510268.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165.0,0.006192,0.000205,0.000001,109776656.0,109776832.0,4096.0,8465.0,13.0,3092.0,1022.0,5125.0,834580.0,5125.0,117614680.0,49708544.0,37214204.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98.0,0.37534,0.009746,0.000002,111315888.0,111318464.0,4096.0,9489.0,13.0,3092.0,1022.0,5107.0,831700.0,5107.0,116762712.0,49708544.0,36362236.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164.0,0.009899,0.002811,0.000001,111316008.0,111318464.0,4096.0,9489.0,13.0,3092.0,1022.0,5106.0,831560.0,5106.0,116762712.0,49708544.0,36362236.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165.0,0.006135,0.001945,0.000001,111316008.0,111318464.0,4096.0,9489.0,13.0,3092.0,1022.0,5106.0,831560.0,5106.0,116762712.0,49708544.0,36362236.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0


